mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.5,concentrated,B3_no_reservation,4,28,453,453,0,0.0,1.3747228381374723,2.6949736255304773,0,451
0.5,concentrated,B3_no_reservation,4,29,553,553,0,0.0,1.300509337860781,2.735561992286232,0,589
0.5,concentrated,B3_no_reservation,4,30,493,493,0,0.0,1.3478260869565217,2.7137912898967125,0,483
0.5,distributed,B3_no_reservation,0,1,463,463,0,0.0,1.0101626016260163,2.21335620507943,0,492
0.5,distributed,B3_no_reservation,0,2,498,498,0,0.0,1.0069204152249136,2.222919691346371,0,578
0.5,distributed,B3_no_reservation,0,3,502,502,0,0.0,1.0016447368421053,2.220286673795694,0,608
0.5,distributed,B3_no_reservation,0,4,511,511,0,0.0,1.003257328990228,2.2165219609933993,0,614
0.5,distributed,B3_no_reservation,0,5,477,477,0,0.0,1.0108695652173914,2.2111375228301617,0,552
0.5,distributed,B3_no_reservation,0,6,539,539,0,0.0,1.0031948881789137,2.207067567300265,0,626
0.5,distributed,B3_no_reservation,1,7,458,458,0,0.0,1.0287081339712918,2.2323058236206763,0,627
0.5,distributed,B3_no_reservation,1,8,495,495,0,0.0,1.038179148311307,2.2685485440593927,0,681
0.5,distributed,B3_no_reservation,1,9,502,502,0,0.0,1.0271041369472182,2.2634892819324692,0,701
0.5,distributed,B3_no_reservation,1,10,514,514,0,0.0,1.0405797101449274,2.258290317128195,0,690
0.5,distributed,B3_no_reservation,1,11,512,512,0,0.0,1.0378151260504203,2.2702636363139277,0,714
0.5,distributed,B3_no_reservation,1,12,457,457,0,0.0,1.0392156862745099,2.2623805370450336,0,612
0.5,distributed,B3_no_reservation,2,13,490,490,0,0.0,1.0141955835962144,2.2372397157829544,0,634
0.5,distributed,B3_no_reservation,2,14,505,505,0,0.0,1.0134128166915053,2.232629432359561,0,671
