layout_seed,rho,seed,t_r3b,t_conc,totalL_r3b,totalL_conc,block_r3b,block_conc
0,1.2,2,21.957756153824434,29.801018972349397,17.87426785064242,24.859040081031964,0.18309976953386364,0.16256821710471267
0,1.2,3,22.31716031363258,29.730710805445582,18.06813143985306,24.80587075265621,0.18809086012518342,0.1596515607949935
0,1.2,4,21.95803048638632,30.171961735595126,17.942914196422105,25.0645666302835,0.1829638683630572,0.16794672009498368
0,1.2,5,21.81914119820231,30.15777828306854,17.847132745948624,25.027111447286643,0.1803275646081752,0.16766817434592415
0,1.2,6,21.89628693476269,29.812828166759303,17.929249665640558,24.965977515483864,0.18348971223818847,0.16259364553140657
0,1.2,7,22.034724850636138,29.66915601349907,18.008354090586124,24.85828875221121,0.18424579662990934,0.16082359488035614
0,1.2,8,22.121032467459806,30.020548090844038,18.025898761954405,24.978668002221227,0.1840738817595134,0.16616401109863493
0,1.2,9,22.3027702943699,29.622190706448006,18.151061978327622,24.841095778205275,0.19133235185866765,0.1612060822699239
0,1.2,10,22.256720177956254,29.522820298547337,18.135010041464813,24.71720445635684,0.1853432711448544,0.15635671499748083
1,0.6,1,2.180606162419165,0.3506296088329709,2.192433760588429,0.3511555532462204,0.0005339323194756417,0.0
1,0.6,2,2.1963152075522503,0.34582529381378596,2.190783747029538,0.3451336432261584,0.00046391656924418714,0.0
1,0.6,3,2.1527565093230105,0.327535618541611,2.1459038947442974,0.327493160220689,0.0006683747354350006,0.0
1,0.6,4,2.2468224856522,0.3098269667269582,2.2488943313013925,0.3085015958137374,0.000647273130767666,0.0
1,0.6,5,2.1474957935046657,0.3627697980103689,2.13920320315608,0.3610567184086533,0.00039026928580720695,0.0
1,0.6,6,2.222634446323445,0.3301108618261115,2.220380289658912,0.3314557579298475,0.0004632803958267702,0.0
1,0.6,7,2.2189067799683406,0.3200107523530613,2.2338337647343915,0.31991593435236415,0.0005147721214126818,0.0
1,0.6,8,2.234912665664909,0.3434790476312901,2.2209027560261667,0.341651777204483,0.000465809577044904,0.0
1,0.6,9,2.224189430733276,0.33613715872254546,2.235793379208714,0.3363151492663936,0.00046046451660435045,0.0
1,0.6,10,2.139430224089906,0.3331409520771022,2.1362579593961497,0.33264124064898654,0.0003708098487095817,0.0
1,0.8,1,5.9715215749138215,2.157041612921384,5.913171992427565,2.160661386141328,0.0106735880744514,5.55000555000555e-05
1,0.8,2,6.0642554224918435,2.2087411330201974,6.002680505746576,2.2060086192284367,0.01126541711178013,0.0004864827298630899
1,0.8,3,6.079907790255572,2.144315468289213,6.005809771222065,2.143758031215902,0.009236556143772638,2.7803264103205717e-05
1,0.8,4,6.13504786811478,2.265120300419409,6.092671963105872,2.276264864879388,0.010640800343162352,5.5280687691754886e-05
1,0.8,5,5.961637996556633,2.3433432075916736,5.87915443233692,2.344482332762,0.009640604944472348,8.328590663649866e-05
1,0.8,6,5.926857099006127,2.2555258871968182,5.852751249642784,2.2540202589500713,0.01045305866796576,9.728437612919365e-05
1,0.8,7,6.184561279370206,2.130740844461298,6.157709516680388,2.141601704043487,0.011119541974201558,0.0
1,0.8,8,6.14247312536459,2.2432737966426695,6.0900643287874825,2.243709988769817,0.010494212240937132,9.719387400896961e-05
1,0.8,9,6.036552224932746,2.13911055928574,5.9834015323461776,2.1422079450575913,0.009528968898890138,4.163775156141568e-05
1,0.8,10,5.988975447910006,2.254351455606998,5.91092437131265,2.251861181609825,0.009896022077885876,0.0
1,1.0,1,13.646077411226763,13.945532257534756,12.762225765968545,13.614519913212648,0.07414741474147414,0.029116343827003614
1,1.0,2,13.303644051898157,15.04128278701437,12.324173385116723,14.564005927904008,0.06732597945987068,0.0325313377818735
1,1.0,3,13.609247030131783,14.314579201811561,12.570356005317482,13.836573075147697,0.07087529480143516,0.029964426304461767
1,1.0,4,13.463925409387398,14.549180410979375,12.540503046168613,14.166322845257692,0.07084816034232376,0.02909534097833915
1,1.0,5,13.577590020431234,14.728380870401086,12.610073238464913,14.287396001126512,0.07080590642234477,0.03197871042856351
1,1.0,6,13.224964976980543,14.13779843340339,12.332058082565066,13.748419182057747,0.06691801236709818,0.026980137458573368
1,1.0,7,13.245780264620981,14.845994571236176,12.360565475134337,14.449938356577324,0.0676993115700644,0.03137025078508558
