mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.5,concentrated,ours_all_off,2,15,477,477,0,0.0,1.5274725274725274,2.1427572549141947,0,91
0.5,concentrated,ours_all_off,2,16,494,494,0,0.0,1.5,2.1251695448943284,0,96
0.5,concentrated,ours_all_off,2,17,530,530,0,0.0,1.4705882352941178,2.138535663146317,0,102
0.5,concentrated,ours_all_off,2,18,519,519,0,0.0,1.4752475247524752,2.143754473749599,0,101
0.5,concentrated,ours_all_off,3,19,481,481,0,0.0,1.4301075268817205,2.1351242922011155,0,93
0.5,concentrated,ours_all_off,3,20,515,515,0,0.0,1.52,2.1343346152768765,0,100
0.5,concentrated,ours_all_off,3,21,515,515,0,0.0,1.4948453608247423,2.134480592278768,0,97
0.5,concentrated,ours_all_off,3,22,496,496,0,0.0,1.5326086956521738,2.1253315299761995,0,92
0.5,concentrated,ours_all_off,3,23,506,506,0,0.0,1.4631578947368422,2.1338006942013905,0,95
0.5,concentrated,ours_all_off,3,24,494,494,0,0.0,1.4842105263157894,2.125380749804473,0,95
0.5,concentrated,ours_all_off,4,25,488,488,0,0.0,1.5106382978723405,2.1502655437344194,0,94
0.5,concentrated,ours_all_off,4,26,489,489,0,0.0,1.446808510638298,2.126050855700273,0,94
0.5,concentrated,ours_all_off,4,27,492,492,0,0.0,1.5052631578947369,2.1231290105547225,0,95
0.5,concentrated,ours_all_off,4,28,453,453,0,0.0,1.5113636363636365,2.158052330762119,0,88
0.5,concentrated,ours_all_off,4,29,553,553,0,0.0,1.4579439252336448,2.142042670395706,0,107
0.5,concentrated,ours_all_off,4,30,493,493,0,0.0,1.5368421052631578,2.153227514699829,0,95
0.5,distributed,ours_all_off,0,1,463,463,0,0.0,1.025,2.0834798336216407,0,80
0.5,distributed,ours_all_off,0,2,498,498,0,0.0,1.0113636363636365,2.0846664173071714,0,88
0.5,distributed,ours_all_off,0,3,502,502,0,0.0,1.0113636363636365,2.081734554825739,0,88
0.5,distributed,ours_all_off,0,4,511,511,0,0.0,1.0114942528735633,2.0736400401309223,0,87
0.5,distributed,ours_all_off,0,5,477,477,0,0.0,1.0125,2.068692931470169,0,80
0.5,distributed,ours_all_off,0,6,539,539,0,0.0,1.021978021978022,2.0645671895860866,0,91
0.5,distributed,ours_all_off,1,7,458,458,0,0.0,1.0253164556962024,2.0567360333460565,0,79
0.5,distributed,ours_all_off,1,8,495,495,0,0.0,1.0941176470588236,2.078600963044435,0,85
0.5,distributed,ours_all_off,1,9,502,502,0,0.0,1.0348837209302326,2.0554269304601807,0,86
0.5,distributed,ours_all_off,1,10,514,514,0,0.0,1.053191489361702,2.063508363596897,0,94
0.5,distributed,ours_all_off,1,11,512,512,0,0.0,1.0520833333333333,2.0846379081924544,0,96
0.5,distributed,ours_all_off,1,12,457,457,0,0.0,1.0357142857142858,2.0600558047126545,0,84
0.5,distributed,ours_all_off,2,13,490,490,0,0.0,1.0238095238095237,2.088634526273882,0,84
0.5,distributed,ours_all_off,2,14,505,505,0,0.0,1.0227272727272727,2.0749922970971886,0,88
0.5,distributed,ours_all_off,2,15,477,477,0,0.0,1.025,2.0877874410908177,0,80
0.5,distributed,ours_all_off,2,16,494,494,0,0.0,1.0348837209302326,2.076993781980245,0,86
0.5,distributed,ours_all_off,2,17,530,530,0,0.0,1.0227272727272727,2.0658494695395353,0,88
0.5,distributed,ours_all_off,2,18,519,519,0,0.0,1.0666666666666667,2.1045822128790395,0,90
