adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
311,3002.286124877689,,0,load,,,311,3084.5545205817352,,0,light,,,0.3,14,
306,3062.6083457706063,,0,load,,,305,2950.071757218422,,0,light,,,0.3,15,
285,2583.3565545764695,,0,load,,,285,2677.5943444379586,,0,light,,,0.3,16,
314,3026.2765967199325,,0,load,,,313,3091.5331062717783,,0,light,,,0.3,17,
315,2981.473323403255,,0,load,,,315,3103.22054105783,,0,light,,,0.3,18,
299,3002.9754925103257,,0,load,,,299,2950.600033835345,,0,light,,,0.3,19,
304,3057.9726486649593,,0,load,,,304,3108.895940932777,,0,light,,,0.3,20,
329,3005.6312484702585,,0,load,,,329,2931.08499763012,,0,light,,,0.3,21,
303,2723.4096652217577,,0,load,,,302,2985.204984764664,,0,light,,,0.3,22,
298,2910.5388135520516,,0,load,,,298,2881.147094644159,,0,light,,,0.3,23,
283,2690.99488173961,,0,load,,,283,2682.5392403436563,,0,light,,,0.3,24,
288,2797.935607522524,,0,load,,,288,2589.9490983448713,,0,light,,,0.3,25,
285,2876.211485184213,,0,load,,,284,2806.1361953850032,,0,light,,,0.3,26,
315,3014.3805259053997,,0,load,,,315,3026.322304956806,,0,light,,,0.3,27,
256,2629.058300912142,,0,load,,,256,2691.1747281298303,,0,light,,,0.3,28,
341,3405.0848629356447,,0,load,,,341,3216.0214347177357,,0,light,,,0.3,29,
308,2834.18083827856,,0,load,,,308,3092.2677243344874,,0,light,,,0.3,30,
784,8157.926955424665,,0,load,,,785,7696.430965816935,,0,nominal,,,0.8,1,
809,8762.521125317424,,0,load,,,807,7996.684694535291,,0,nominal,,,0.8,2,
808,8585.123235701716,,0,load,,,808,7967.29589842706,,0,nominal,,,0.8,3,
822,8553.834009890346,,0,load,,,821,8192.570508950688,,0,nominal,,,0.8,4,
760,7847.693344875331,,0,load,,,760,7760.564298598776,,0,nominal,,,0.8,5,
859,8697.278474632038,,0,load,,,859,8412.895433112439,,0,nominal,,,0.8,6,
728,7451.433987873959,,0,load,,,728,7209.332848516656,,0,nominal,,,0.8,7,
