mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
0.3,distributed,baseline,1,11,313,313,0,0.0,3.595744680851064,17.39999999999999,1.9792999257707984,0.995,0.9842999257707984,0.0,0,0.5875,0.119,47
0.3,distributed,baseline,1,12,267,267,0,0.0,3.948717948717949,20.70000000000001,1.9732490822244608,1.001,0.9722490822244609,0.0,0,0.6761904761904762,0.11288711288711288,39
0.3,distributed,baseline,2,13,275,275,0,0.0,3.0,23.199999999999996,1.9929001340385928,1.003,0.9899001340385929,0.0,0,0.6025,0.07377866400797607,37
0.3,distributed,baseline,2,14,311,311,0,0.0,4.173913043478261,21.0,1.9963841224080834,0.996,1.0003841224080834,0.0,0,0.5608695652173913,0.146,46
0.3,distributed,baseline,2,15,306,306,0,0.0,6.704545454545454,38.500000000000014,2.005218617816235,1.002,1.003218617816235,0.0,0,0.5644444444444444,0.250499001996008,44
0.3,distributed,baseline,2,16,285,285,0,0.0,2.58974358974359,16.500000000000007,1.9893075449929172,1.002,0.9873075449929172,0.0,0,0.5790697674418605,0.07784431137724551,39
0.3,distributed,baseline,2,17,314,314,0,0.0,2.851063829787234,17.39999999999999,2.0091727307682135,1.0,1.0091727307682137,0.0,0,0.5916666666666667,0.09,47
0.3,distributed,baseline,2,18,315,315,0,0.0,2.6222222222222222,10.599999999999994,1.979765755658295,0.999,0.9807657556582949,0.0,0,0.6541666666666667,0.072,45
0.3,distributed,baseline,3,19,299,299,0,0.0,1.6956521739130435,1.0,2.021104856625633,0.998,1.0231048566256329,0.0,0,0.5875,0.032,46
0.3,distributed,baseline,3,20,304,304,0,0.0,3.6818181818181817,18.250000000000007,1.987550917439334,0.996,0.9915509174393341,0.0,0,0.49333333333333335,0.118,44
0.3,distributed,baseline,3,21,329,329,0,0.0,2.8043478260869565,17.25,1.9867930079282377,0.995,0.9917930079282375,0.0,0,0.5979591836734693,0.081,46
0.3,distributed,baseline,3,22,303,303,0,0.0,3.152173913043478,17.0,1.9959216909644828,1.001,0.9949216909644829,0.0,0,0.5787234042553191,0.0989010989010989,46
0.3,distributed,baseline,3,23,298,298,0,0.0,4.7560975609756095,28.0,1.9785241090129846,0.999,0.9795241090129846,0.0,0,0.5888888888888889,0.159,41
0.3,distributed,baseline,3,24,283,283,0,0.0,2.35,14.199999999999989,1.9988138162605713,1.001,0.9978138162605713,0.0,0,0.6024390243902439,0.053946053946053944,40
0.3,distributed,baseline,4,25,289,289,0,0.0,1.5609756097560976,2.0,1.959171789965165,1.002,0.957171789965165,0.0,0,0.6441860465116279,0.03592814371257485,41
0.3,distributed,baseline,4,26,286,286,0,0.0,4.5227272727272725,22.80000000000001,1.9987324058173572,1.001,0.9977324058173573,0.0,0,0.6177777777777778,0.15484515484515485,44
0.3,distributed,baseline,4,27,316,316,0,0.0,2.5217391304347827,13.5,2.009827443337149,1.001,1.0088274433371487,0.0,0,0.5714285714285714,0.06993006993006994,46
0.3,distributed,baseline,4,28,256,256,0,0.0,2.6315789473684212,12.599999999999994,1.9962995068359612,0.993,1.0032995068359611,0.0,0,0.6447368421052632,0.062,38
0.3,distributed,baseline,4,29,342,342,0,0.0,5.25,27.249999999999993,1.9703523299335857,1.002,0.9683523299335857,0.0,0,0.6632653061224489,0.20359281437125748,48
0.3,distributed,baseline,4,30,309,309,0,0.0,7.326086956521739,33.0,1.9840932046640705,1.002,0.9820932046640705,0.0,0,0.6125,0.2904191616766467,46
0.3,distributed,jsq,0,1,286,286,0,0.0,1.5365853658536586,2.0,1.9866409155384395,0.995,0.9916409155384395,0.0,0,0.5833333333333334,0.017,41
0.3,distributed,jsq,0,2,306,306,0,0.0,1.0714285714285714,1.9499999999999957,1.9723910563059,1.001,0.9713910563059001,0.0,0,0.5441860465116279,0.0,42
0.3,distributed,jsq,0,3,307,307,0,0.0,1.6808510638297873,2.0,2.061431872622674,1.0,1.061431872622674,0.0,0,0.5770833333333333,0.025,47
0.3,distributed,jsq,0,4,303,303,0,0.0,1.2045454545454546,2.0,2.0466221463666696,1.0,1.0466221463666696,0.0,0,0.5152173913043478,0.008,44
0.3,distributed,jsq,0,5,293,293,0,0.0,1.119047619047619,2.0,1.9755258812028549,0.996,0.9795258812028548,0.0,0,0.5738095238095238,0.0,42
0.3,distributed,jsq,0,6,331,331,0,0.0,1.125,2.0,1.989321523326725,0.998,0.9913215233267249,0.0,0,0.5530612244897959,0.0,48
0.3,distributed,jsq,1,7,282,282,0,0.0,1.1,2.0,1.9915031429765113,1.001,0.9905031429765113,0.0,0,0.6204545454545455,0.0,40
0.3,distributed,jsq,1,8,295,295,0,0.0,2.357142857142857,4.849999999999987,2.030424970738048,1.0,1.0304249707380482,0.0,0,0.6325581395348837,0.053,42
0.3,distributed,jsq,1,9,309,309,0,0.0,1.4772727272727273,2.0,2.0360849109908115,0.998,1.0380849109908117,0.0,0,0.5936170212765958,0.013,44
0.3,distributed,jsq,1,10,332,332,0,0.0,1.6458333333333333,2.0,2.015051224086597,1.001,1.0140512240865969,0.0,0,0.61875,0.026973026973026972,48
0.3,distributed,jsq,1,11,313,313,0,0.0,2.5,2.0,2.033431069564733,0.995,1.0384310695647327,0.0,0,0.6061224489795919,0.066,48
0.3,distributed,jsq,1,12,267,267,0,0.0,1.2,2.0,2.0192373889639903,1.003,1.0162373889639906,0.0,0,0.6071428571428571,0.0,40
0.3,distributed,jsq,2,13,275,275,0,0.0,1.1578947368421053,2.0,2.032061159407013,1.001,1.0310611594070132,0.0,0,0.595,0.0,38
0.3,distributed,jsq,2,14,311,311,0,0.0,1.0869565217391304,2.0,2.009216969519769,0.996,1.0132169695197688,0.0,0,0.60625,0.0,46
0.3,distributed,jsq,2,15,306,306,0,0.0,1.065217391304348,1.75,2.02825038565633,1.001,1.0272503856563298,0.0,0,0.5808510638297872,0.0,46
