config,policy,layout_id,seed,n_uavs,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,makespan_min,mission_flight_energy_wh,station_trip_energy_wh,end_of_run_stored_charge_change_wh,mission_flight_energy_per_completed_wh,station_trip_energy_per_completed_wh,stored_charge_change_per_completed_wh,total_charge_energy_ticked_wh,safety_violations,charge_sessions
fleet_40,baseline_adaptive,1,10,40,10,0.8,837,837,0,0.0,1001.0,7026.119449045669,2261.572687779255,-690.0565804074641,8.394407943901635,2.7019984322332795,-0.8244403589097541,8597.635556417275,0,617
fleet_40,baseline_adaptive,1,11,40,10,0.8,790,790,0,0.0,1002.0,6723.269569110411,2120.4612866487923,-693.4986316520134,8.51046780900052,2.6841282109478386,-0.8778463691797638,8150.232224106937,0,585
fleet_40,baseline_adaptive,1,12,40,10,0.8,745,745,0,0.0,1002.0,6391.174396321847,2110.624018907888,-588.8228143970368,8.5787575789555,2.833052374373004,-0.790366193821526,7912.975600832454,0,569
fleet_40,baseline_adaptive,2,13,40,10,0.8,803,803,0,0.0,1002.0,7419.149447992423,1896.7532266488056,-738.1935531890631,9.2392894744613,2.3620837193633943,-0.9192945867858818,8577.70912145196,0,605
fleet_40,baseline_adaptive,2,14,40,10,0.8,829,829,0,0.0,1001.0,7575.922350595391,1926.5866766220288,-635.0072133446852,9.138627684674779,2.32398875346445,-0.7659918134435285,8867.501813872583,0,623
fleet_40,baseline_adaptive,2,15,40,10,0.8,781,781,0,0.0,1001.0,7142.876058800721,1810.4529524255381,-653.5908777446931,9.145808013829347,2.318121578009652,-0.8368641200316173,8299.738133481316,0,579
fleet_40,baseline_adaptive,2,16,40,10,0.8,776,776,0,0.0,1002.0,7153.688208901229,1824.9768825999568,-633.5406643339902,9.218670372295398,2.351774333247367,-0.8164183818736988,8345.124427166946,0,584
fleet_40,baseline_adaptive,2,17,40,10,0.8,839,839,0,0.0,999.0,7503.509447459606,1921.3070189452853,-620.4243795244178,8.94339624250251,2.2899964468954535,-0.7394807860839305,8804.392086880309,0,618
fleet_40,baseline_adaptive,2,18,40,10,0.8,809,809,0,0.0,999.0,7242.5659855349295,1854.3404932319506,-570.0174515752019,8.952491947509184,2.2921390522026583,-0.7045951193760221,8526.889027191477,0,596
fleet_40,baseline_adaptive,3,19,40,10,0.8,773,773,0,0.0,1001.0,6878.7991111655565,1889.2793930954522,-594.8603275982076,8.89883455519477,2.4440871838233535,-0.769547642429764,8173.218176662527,0,594
fleet_40,baseline_adaptive,3,20,40,10,0.8,803,803,0,0.0,1002.0,7218.990324737331,1819.0043984098234,-576.9032121741451,8.990025311005393,2.265260770124313,-0.718434884401177,8461.091510972778,0,609
