rho,seed,t_r3a,L_r3a,block_r3a,t_r1,block_r1,t_c_analytic,L_c_analytic
0.6,9,0.660166353489215,0.13363998318449036,0.0,3.9191713247122584,0.011005342995762451,0.35422640570516495,0.3542263983079311
0.6,10,0.6517161351266334,0.1302074640179795,0.0,3.998390986125277,0.012444149034378347,0.35422640570516495,0.3542263983079311
0.6,11,0.6345113255992914,0.12588078022037494,0.0,3.9183126810686675,0.010133630289532293,0.35422640570516495,0.3542263983079311
0.6,12,0.6536530051605463,0.130688638123136,0.0,3.935069338949863,0.011815013471092765,0.35422640570516495,0.3542263983079311
0.6,13,0.6534997470677538,0.1312066134149811,0.0,3.8246932961481135,0.010804943631743839,0.35422640570516495,0.3542263983079311
0.6,14,0.6440453032254375,0.12902341270344486,0.0,3.917164923920006,0.012058411387270448,0.35422640570516495,0.3542263983079311
0.6,15,0.6518075034270903,0.1313044972090232,0.0,3.9506801895435455,0.01215531099295165,0.35422640570516495,0.3542263983079311
0.7,1,1.3232670776966091,0.2650622980649179,0.0,5.919034566891252,0.025982362721781407,0.8814313235280582,0.881429071574559
0.7,2,1.384380273501642,0.27731920868118803,0.0,5.998224171079789,0.026978569017887276,0.8814313235280582,0.881429071574559
0.7,3,1.4119128518782464,0.2808855754020748,0.0,5.951962335698098,0.025057285920393788,0.8814313235280582,0.881429071574559
0.7,4,1.3918723518255385,0.2788739496300674,0.0,5.992208386993864,0.02601715440017768,0.8814313235280582,0.881429071574559
0.7,5,1.3825814941619259,0.2758305584181836,5.3041393503490124e-05,5.961365434038934,0.026419562528412394,0.8814313235280582,0.881429071574559
0.7,6,1.3269028865551111,0.2643826898705745,0.0,5.956857816449055,0.02523866538106994,0.8814313235280582,0.881429071574559
0.7,7,1.4305372927804803,0.28684780867413284,0.0,5.87524823675461,0.025571492129404037,0.8814313235280582,0.881429071574559
0.7,8,1.3693179493428216,0.2739760214427749,0.0,5.778718501558027,0.02425416835246268,0.8814313235280582,0.881429071574559
0.7,9,1.4202375488183332,0.28570181532485883,0.0,5.920748419650852,0.02727473382172099,0.8814313235280582,0.881429071574559
0.7,10,1.3158454568158167,0.26192147493003526,0.0,6.029743027581702,0.027454964966871998,0.8814313235280582,0.881429071574559
0.7,11,1.365076969094264,0.2722902418204569,0.0,5.900855849938625,0.0254639437335819,0.8814313235280582,0.881429071574559
0.7,12,1.3963254003553747,0.2786305613117186,0.0,6.007670882745398,0.026891820580474932,0.8814313235280582,0.881429071574559
0.7,13,1.3728071810559452,0.275209343092409,0.0,5.9259067973665145,0.02568402283967651,0.8814313235280582,0.881429071574559
0.7,14,1.3778600348006322,0.27584337181505114,0.0,5.905878231436917,0.024822544761097572,0.8814313235280582,0.881429071574559
0.7,15,1.3784915801206652,0.27745563497838016,0.0,5.78693718120905,0.024206613933098257,0.8814313235280582,0.881429071574559
0.8,1,2.8113090821475266,0.5633848734944897,9.239923863027368e-05,8.622329621016354,0.052865503533568906,2.198751640709259,2.1984498247757425
0.8,2,2.9559810675066074,0.5907709147740808,1.853774284443126e-05,8.5833896453156,0.04952054477231667,2.198751640709259,2.1984498247757425
0.8,3,2.9893363304756675,0.5962624276450177,0.00017637011733254122,8.585323359531253,0.05013777682937012,2.198751640709259,2.1984498247757425
0.8,4,2.91852012703121,0.5814080883691387,0.0,8.664791164729337,0.052030703010262046,2.198751640709259,2.1984498247757425
0.8,5,2.911314474926306,0.581157673749419,0.00010203513719087991,8.631052857752254,0.050510577912983794,2.198751640709259,2.1984498247757425
0.8,6,3.0072064532974037,0.6014492298877288,0.000175898238240277,8.5383937628527,0.04978711588300629,2.198751640709259,2.1984498247757425
0.8,7,3.071049947477506,0.6151502617610104,7.39610779827116e-05,8.455506813314543,0.048314950129191785,2.198751640709259,2.1984498247757425
0.8,8,3.2025253238971008,0.64237380363531,0.0003230540607895441,8.738679752053905,0.052079579371459725,2.198751640709259,2.1984498247757425
0.8,9,2.6804291837764924,0.5365334139293093,2.7773663161013184e-05,8.520334773871852,0.049886369935147716,2.198751640709259,2.1984498247757425
0.8,10,3.1377724636772855,0.6278410626530163,0.0003238341968911917,8.577968067958794,0.04963756697132052,2.198751640709259,2.1984498247757425
0.8,11,2.949768085894124,0.58718448154379,0.00010232558139534884,8.461015576302938,0.047502252942761315,2.198751640709259,2.1984498247757425
0.8,12,3.0028202823982912,0.5995702450231272,0.0001483748319191357,8.864755321748742,0.053351661531081056,2.198751640709259,2.1984498247757425
0.8,13,2.9892476856308745,0.5975899592486738,0.00015745989403875366,8.533910391851899,0.050211338103889364,2.198751640709259,2.1984498247757425
0.8,14,3.022368141323585,0.6032249163417264,0.00011134100967738943,8.549325436983176,0.05006350648507829,2.198751640709259,2.1984498247757425
0.8,15,2.9326384586158087,0.5869838799278299,0.00023124809220323933,8.639053754192624,0.05114333982626035,2.198751640709259,2.1984498247757425
