rho,seed,L_r1,L_r3a,L_c_analytic
0.65,21,0.9492764645493599,0.49720962823119647,0.5618667512811468
0.65,22,0.9605625364318799,0.4922896700335161,0.5618667512811468
0.65,23,0.9630073419307257,0.4962505659142096,0.5618667512811468
0.65,24,0.9696270921916232,0.5049728210295743,0.5618667512811468
0.65,25,0.941767788513709,0.48002503214231806,0.5618667512811468
0.65,26,0.9728151293693035,0.4888948272642068,0.5618667512811468
0.65,27,0.9249905599919709,0.48721549868638564,0.5618667512811468
0.65,28,0.952132030870535,0.4891513722146656,0.5618667512811468
0.65,29,0.9602848691962823,0.49181113579929947,0.5618667512811468
0.65,30,0.9471915560760232,0.48692276325382816,0.5618667512811468
0.7,1,1.1649049289902447,0.5741311502318578,0.881429071574559
0.7,2,1.1770848448491418,0.5870910500442128,0.881429071574559
0.7,3,1.1534219539979085,0.5872085807532685,0.881429071574559
0.7,4,1.1545751607165509,0.5838542582085452,0.881429071574559
0.7,5,1.1540755029005572,0.580901868105413,0.881429071574559
0.7,6,1.166778566860078,0.5880352076068511,0.881429071574559
0.7,7,1.1921155309375044,0.573610453303389,0.881429071574559
0.7,8,1.1503485603570558,0.5858111128001179,0.881429071574559
0.7,9,1.167846545057412,0.5856770767512557,0.881429071574559
0.7,10,1.1695454072084124,0.582182772951712,0.881429071574559
0.7,11,1.173318313176697,0.5817045961036607,0.881429071574559
0.7,12,1.1657172953214907,0.5849975854282521,0.881429071574559
0.7,13,1.1926533127156498,0.5817136930021561,0.881429071574559
0.7,14,1.17120805470676,0.5751345630765698,0.881429071574559
0.7,15,1.1663656343682836,0.5775562504376267,0.881429071574559
0.7,16,1.1670740157183912,0.5827800575710825,0.881429071574559
0.7,17,1.1601429525930056,0.5797387777018683,0.881429071574559
0.7,18,1.1621961260711156,0.5937578806453069,0.881429071574559
0.7,19,1.1722764366841798,0.5817608938553137,0.881429071574559
0.7,20,1.1479137441873002,0.5860517392892759,0.881429071574559
0.7,21,1.1645501721774831,0.5894220526657057,0.881429071574559
0.7,22,1.159395931837902,0.5853577769040299,0.881429071574559
0.7,23,1.1706339240744295,0.5951378212864429,0.881429071574559
0.7,24,1.1503421728977326,0.58422105458083,0.881429071574559
0.7,25,1.1762552457982702,0.5832280484130565,0.881429071574559
0.7,26,1.1698127665939615,0.5874329591312165,0.881429071574559
0.7,27,1.1608099558475682,0.5777512540856113,0.881429071574559
0.7,28,1.1620666451419963,0.5845467284767756,0.881429071574559
