n,m,rho,seed,L_r1,L_r3a,L_c_analytic
4,6,0.75,30,1.210149960260005,0.7804575710770039,1.501041196658349
10,9,0.7,1,1.3261635294201009,0.5468787521398841,0.5173728370570251
10,9,0.7,2,1.3538398348357723,0.5438712589661752,0.5173728370570251
10,9,0.7,3,1.368417026002657,0.5469071529654236,0.5173728370570251
10,9,0.7,4,1.3665838506989825,0.5403617832553207,0.5173728370570251
10,9,0.7,5,1.3285778104595898,0.5439165915816486,0.5173728370570251
10,9,0.7,6,1.3479441869073596,0.5418465769548921,0.5173728370570251
10,9,0.7,7,1.3579060637984643,0.5399393786054996,0.5173728370570251
10,9,0.7,8,1.3674568218070147,0.5459925975644959,0.5173728370570251
10,9,0.7,9,1.3439644111269062,0.5483052428160758,0.5173728370570251
10,9,0.7,10,1.3585214945768782,0.5433939159932516,0.5173728370570251
10,9,0.7,11,1.3472832616065205,0.5468327685084804,0.5173728370570251
10,9,0.7,12,1.3309807089028642,0.5478900492674115,0.5173728370570251
10,9,0.7,13,1.369201131609635,0.5463732674544087,0.5173728370570251
10,9,0.7,14,1.3505335690922327,0.5394944702541544,0.5173728370570251
10,9,0.7,15,1.3459541195501399,0.5443408624509194,0.5173728370570251
10,9,0.7,16,1.3496566821195006,0.5416054574685203,0.5173728370570251
10,9,0.7,17,1.3543953166021505,0.5408364234650544,0.5173728370570251
10,9,0.7,18,1.3461550416154568,0.5471743094906139,0.5173728370570251
10,9,0.7,19,1.3663173436493727,0.5410425876616747,0.5173728370570251
10,9,0.7,20,1.3479319304420039,0.543749355087931,0.5173728370570251
10,9,0.7,21,1.34308197689588,0.5474134265888728,0.5173728370570251
10,9,0.7,22,1.3529262529837773,0.5467833813788296,0.5173728370570251
10,9,0.7,23,1.361455058835292,0.5451313562478968,0.5173728370570251
10,9,0.7,24,1.3394330026390917,0.5421710155414519,0.5173728370570251
10,9,0.7,25,1.3349882938470687,0.5452225425276319,0.5173728370570251
10,9,0.7,26,1.3266606530912919,0.5460826543421693,0.5173728370570251
10,9,0.7,27,1.3449718290510329,0.5451599021776872,0.5173728370570251
10,9,0.7,28,1.3543057309685052,0.543306151979298,0.5173728370570251
10,9,0.7,29,1.3784624229125435,0.5486733861846742,0.5173728370570251
10,9,0.7,30,1.3367312363596544,0.5467561666307579,0.5173728370570251
10,9,0.75,1,1.6564147788401467,0.6204250275175659,0.9198335987317094
10,9,0.75,2,1.6867642709805408,0.6157639374824088,0.9198335987317094
10,9,0.75,3,1.6416399269821542,0.6183168634162157,0.9198335987317094
10,9,0.75,4,1.6465441442146047,0.6215602420694263,0.9198335987317094
10,9,0.75,5,1.6684134880000392,0.619239789910079,0.9198335987317094
10,9,0.75,6,1.6826153552569305,0.618923046975544,0.9198335987317094
10,9,0.75,7,1.6549863661886484,0.6184852936621027,0.9198335987317094
10,9,0.75,8,1.6693647338614235,0.6195505211420874,0.9198335987317094
10,9,0.75,9,1.667944891632493,0.6194041605689968,0.9198335987317094
10,9,0.75,10,1.6631934244985342,0.6262376570972746,0.9198335987317094
10,9,0.75,11,1.6951250465579428,0.6228370896874935,0.9198335987317094
10,9,0.75,12,1.66211938776804,0.6226182676920268,0.9198335987317094
10,9,0.75,13,1.6574818913252503,0.6199540916810373,0.9198335987317094
10,9,0.75,14,1.6641508907145084,0.6248619667253267,0.9198335987317094
10,9,0.75,15,1.65942679753452,0.6174783902365288,0.9198335987317094
10,9,0.75,16,1.661767533043994,0.6174523125050744,0.9198335987317094
10,9,0.75,17,1.66439605989243,0.6222036265225035,0.9198335987317094
10,9,0.75,18,1.6858813148039733,0.6237576539855494,0.9198335987317094
10,9,0.75,19,1.6824846358061798,0.6181972307969811,0.9198335987317094
10,9,0.75,20,1.669054326034642,0.6232551988930676,0.9198335987317094
10,9,0.75,21,1.6617860358271745,0.6282515205243006,0.9198335987317094
10,9,0.75,22,1.675706570028866,0.6202862214395576,0.9198335987317094
10,9,0.75,23,1.674852096295076,0.6265840020303034,0.9198335987317094
10,9,0.75,24,1.6655914320120844,0.6244198547155448,0.9198335987317094
10,9,0.75,25,1.6552347324170484,0.6191035394941236,0.9198335987317094
10,9,0.75,26,1.6814495731536812,0.6206140596198368,0.9198335987317094
10,9,0.75,27,1.6538005344201607,0.6162724630874301,0.9198335987317094
10,9,0.75,28,1.6800491952070988,0.6170067407194014,0.9198335987317094
10,9,0.75,29,1.65653254594165,0.6203932457579447,0.9198335987317094
10,9,0.75,30,1.6485875348725063,0.6240537263346367,0.9198335987317094
10,9,0.8,1,2.020270511188753,0.7315462102520738,1.6367201210400761
10,9,0.8,2,2.0149706637903058,0.7396472383053971,1.6367201210400761
10,9,0.8,3,2.008079775613022,0.7196779956327208,1.6367201210400761
10,9,0.8,4,2.0078803605226723,0.7241467287946286,1.6367201210400761
10,9,0.8,5,1.9984291836577928,0.7311505106630898,1.6367201210400761
10,9,0.8,6,2.0374537438132085,0.7284091577288336,1.6367201210400761
10,9,0.8,7,2.004954122666459,0.7185446530595707,1.6367201210400761
10,9,0.8,8,2.016081608771848,0.7290270325101216,1.6367201210400761
10,9,0.8,9,2.0617022861426544,0.7245927220250841,1.6367201210400761
10,9,0.8,10,2.026586215213429,0.7342398341051741,1.6367201210400761
10,9,0.8,11,2.013467084903684,0.725244328888725,1.6367201210400761
10,9,0.8,12,2.0284770913445276,0.7232785836174697,1.6367201210400761
10,9,0.8,13,2.0322700885795513,0.7296386395158301,1.6367201210400761
10,9,0.8,14,1.9942644213454688,0.7208381659225941,1.6367201210400761
10,9,0.8,15,2.010987802750113,0.7332751643816463,1.6367201210400761
10,9,0.8,16,1.9954058942033104,0.7240803411342484,1.6367201210400761
10,9,0.8,17,2.032281218526935,0.7298967524022449,1.6367201210400761
10,9,0.8,18,1.9992314689815696,0.7297551755460103,1.6367201210400761
10,9,0.8,19,2.0174201714416675,0.7248465769861705,1.6367201210400761
10,9,0.8,20,2.0417741101701847,0.7224153486206808,1.6367201210400761
10,9,0.8,21,2.0332056905635216,0.7228665319091709,1.6367201210400761
10,9,0.8,22,2.0427175202369074,0.7326574737928183,1.6367201210400761
10,9,0.8,23,2.047981492189755,0.7302320649977083,1.6367201210400761
10,9,0.8,24,2.0204529270803215,0.741365348286043,1.6367201210400761
10,9,0.8,25,2.021453739902881,0.7220959101232851,1.6367201210400761
10,9,0.8,26,2.0415354059596598,0.7263496593237421,1.6367201210400761
10,9,0.8,27,2.0152737461220083,0.7242707349240227,1.6367201210400761
10,9,0.8,28,2.003724335011689,0.7301037680240474,1.6367201210400761
10,9,0.8,29,2.057651571162997,0.7275928580500632,1.6367201210400761
10,9,0.8,30,2.0127139883609546,0.7232036865623914,1.6367201210400761
10,9,0.85,1,2.3986612035364208,0.8991608884129618,3.00246235338117
10,9,0.85,2,2.42440370771945,0.8959122351729942,3.00246235338117
10,9,0.85,3,2.3775862059678237,0.9293429120300625,3.00246235338117
10,9,0.85,4,2.3912562928198744,0.9066788437504718,3.00246235338117
10,9,0.85,5,2.3977463665574357,0.9123739021861365,3.00246235338117
10,9,0.85,6,2.4066356115649614,0.898549300590985,3.00246235338117
10,9,0.85,7,2.4196795245711415,0.9111205609686165,3.00246235338117
10,9,0.85,8,2.4042947002496913,0.9168198911501191,3.00246235338117
