config,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
density_scarce,jsq,2,13,802,802,0,0.0,2.0105238601490774,1.0,1.0105238601490774,0.0,0,0.2754237288135593,2.123,110
density_scarce,jsq,2,14,829,829,0,0.0,1.9935395238751488,1.002,0.9915395238751487,0.0,0,0.28,3.1397205588822357,114
density_scarce,jsq,2,15,788,788,0,0.0,2.0102019883536824,1.001,1.0092019883536825,0.0,0,0.2815126050420168,2.9330669330669332,109
density_scarce,jsq,2,16,776,776,0,0.0,2.036340760281024,1.003,1.0333407602810243,0.0,0,0.26339285714285715,1.913260219341974,107
density_scarce,jsq,2,17,850,850,0,0.0,1.9840559295483848,1.024,0.9600559295483848,0.0,0,0.27007299270072993,7.958984375,118
density_scarce,jsq,2,18,811,811,0,0.0,2.0119049751599585,1.001,1.0109049751599584,0.0,0,0.304,3.826173826173826,116
density_scarce,jsq,3,19,768,768,0,0.0,1.988186015712365,1.002,0.9861860157123649,0.0,0,0.3793103448275862,4.187624750499002,106
density_scarce,jsq,3,20,811,811,0,0.0,1.980125428637109,1.0,0.980125428637109,0.0,0,0.3373015873015873,5.91,114
density_scarce,jsq,3,21,820,820,0,0.0,2.012565628323566,1.0,1.012565628323566,0.0,0,0.3617886178861789,3.47,115
density_scarce,jsq,3,22,778,778,0,0.0,2.0291144172697813,0.997,1.0321144172697811,0.0,0,0.32905982905982906,2.844,110
density_scarce,jsq,3,23,788,788,0,0.0,2.0346602760974064,1.0,1.0346602760974064,0.0,0,0.31896551724137934,2.629,112
density_scarce,jsq,3,24,766,766,0,0.0,1.9765007040165892,1.002,0.9745007040165892,0.0,0,0.36324786324786323,4.549900199600798,102
density_scarce,jsq,4,25,782,782,0,0.0,1.9905067627683288,1.002,0.9885067627683289,0.0,0,0.2863247863247863,2.906187624750499,106
density_scarce,jsq,4,26,777,777,0,0.0,1.940527458635505,1.011,0.9295274586355052,0.0,0,0.3418803418803419,7.051434223541048,99
density_scarce,jsq,4,27,789,789,0,0.07731305449936629,2.068949293745242,1.077,0.9602975716901759,0.03165172205506616,0,0.35080645161290325,9.668523676880223,106
density_scarce,jsq,4,28,744,744,0,0.0,1.9761841070373114,1.001,0.9751841070373116,0.0,0,0.29545454545454547,3.3836163836163835,101
density_scarce,jsq,4,29,865,865,0,0.09595375722543352,2.108592243484,1.085,0.9761306100719882,0.047461633412012136,0,0.3111111111111111,11.211981566820276,117
density_scarce,jsq,4,30,791,791,0,0.0,1.9747082643787663,1.002,0.9727082643787663,0.0,0,0.29435483870967744,6.039920159680639,112
density_scarce,ours,0,1,785,785,0,0.0,2.5639020353276747,1.001,1.5629020353276748,0.0,0,0.040300546448087435,3.3216783216783217,724
density_scarce,ours,0,2,809,809,0,0.0,2.594810012886655,1.0,1.5948100128866551,0.0,0,0.05,4.051,767
density_scarce,ours,0,3,808,808,0,0.0,2.5514732036231376,0.999,1.5524732036231377,0.0,0,0.04409857328145266,5.389,755
density_scarce,ours,0,4,822,822,0,0.0,2.5467173014791937,1.001,1.5457173014791938,0.0,0,0.041343669250646,6.21978021978022,759
density_scarce,ours,0,5,760,760,0,0.0,2.585494886675333,1.0,1.5854948866753331,0.0,0,0.042119565217391304,3.175,726
density_scarce,ours,0,6,861,861,0,0.0,2.5490233593779816,1.02,1.5290233593779814,0.0,0,0.048693586698337295,6.536274509803921,826
density_scarce,ours,1,7,730,730,0,0.30273972602739724,2.787302433742757,1.065,1.4666121022577938,0.2556903314849633,0,0.15894868585732166,10.310798122065728,782
density_scarce,ours,1,8,777,777,0,0.40797940797940796,2.9552039941867974,1.119,1.4586732560806452,0.3775307381061519,0,0.15295480880648898,10.629133154602323,845
density_scarce,ours,1,9,794,794,0,0.3350125944584383,2.8522709864471567,1.117,1.4583137598306217,0.2769572266165349,0,0.17455621301775148,10.88630259623993,828
density_scarce,ours,1,10,842,770,72,0.5225653206650831,3.866969098670128,1.135,1.4341111567241167,1.2978579419460112,0,0.1718362282878412,11.951541850220265,786
density_scarce,ours,1,11,796,786,10,0.5590452261306532,3.6152083404957747,1.135,1.4734217440011668,1.0067865964946079,0,0.16605392156862744,11.713656387665198,798
density_scarce,ours,1,12,746,746,0,0.3552278820375335,2.8968440781175344,1.091,1.4541248300894656,0.3517192480280687,0,0.1532567049808429,9.61044912923923,766
density_scarce,ours,2,13,802,802,0,0.0685785536159601,2.532785826806805,1.018,1.5073052294814384,0.007480597325366308,0,0.038154897494305236,7.931237721021611,861
density_scarce,ours,2,14,829,829,0,0.020506634499396863,2.6134855955450953,1.052,1.560220544827633,0.0012650507174624792,0,0.03780617678381257,7.777566539923955,924
density_scarce,ours,2,15,788,788,0,0.0,2.5584848743498947,1.001,1.5574848743498948,0.0,0,0.03608247422680412,5.646353646353647,859
density_scarce,ours,2,16,776,776,0,0.0,2.595825639996515,1.002,1.593825639996515,0.0,0,0.032721010332950634,5.712574850299402,862
density_scarce,ours,2,17,850,850,0,0.12588235294117647,2.6183551232997773,1.054,1.5393801556065696,0.0249749676932075,0,0.035480349344978165,8.995256166982923,900
density_scarce,ours,2,18,811,811,0,0.10357583230579531,2.6351706797589642,1.059,1.558865136890836,0.017305542868128614,0,0.048752834467120185,10.765816808309726,866
density_scarce,ours,3,19,768,768,0,0.0,2.50669468125327,1.012,1.49469468125327,0.0,0,0.06371359223300971,5.24505928853755,807
density_scarce,ours,3,20,811,811,0,0.2959309494451295,2.6582515105191575,1.049,1.5179085090782016,0.09134300144095592,0,0.05956678700361011,9.92183031458532,814
density_scarce,ours,3,21,820,820,0,0.018292682926829267,2.532457559280246,1.022,1.5092202089170492,0.0012373503631966695,0,0.0644208037825059,9.54109589041096,830
density_scarce,ours,3,22,778,778,0,0.0,2.5480607903703407,0.997,1.5510607903703406,0.0,0,0.05997552019583843,5.332,812
density_scarce,ours,3,23,788,788,0,0.0,2.489603916556433,1.005,1.484603916556433,0.0,0,0.06632064590542099,7.872636815920398,852
density_scarce,ours,3,24,766,766,0,0.0,2.501376289778577,1.005,1.4963762897785773,0.0,0,0.0685897435897436,8.597014925373134,764
density_scarce,ours,4,25,782,740,42,0.5831202046035806,3.9682798937278774,1.135,1.5177970394870703,1.3154828542408075,0,0.0453056768558952,12.343612334801762,900
density_scarce,ours,4,26,777,738,39,0.5276705276705277,4.113953935525702,1.135,1.5124813157395562,1.4664726197861457,0,0.055970149253731345,12.27488986784141,919
density_scarce,ours,4,27,789,742,47,0.6032953105196451,4.00028192686543,1.135,1.486125600376515,1.379156326488915,0,0.044751381215469614,12.420264317180617,885
density_scarce,ours,4,28,744,744,0,0.4583333333333333,3.0156712717731096,1.102,1.4895461449815355,0.42412512679157427,0,0.04665203073545554,11.16606170598911,895
density_scarce,ours,4,29,865,767,98,0.6023121387283237,4.804586158261946,1.135,1.4939003632349142,2.1756857950270327,0,0.04332313965341488,13.191189427312775,963
density_scarce,ours,4,30,791,777,14,0.5575221238938053,3.4351157905386676,1.135,1.4867070953558414,0.8134086951828262,0,0.05186020293122886,13.006167400881058,869
density_scarce,B3_use_queue_term_False,0,1,785,785,0,0.0,2.4555118369599374,1.0,1.4555118369599374,0.0,0,0.04771784232365145,3.905,712
density_scarce,B3_use_queue_term_False,0,2,809,809,0,0.0,2.4291228388726696,1.016,1.4131228388726693,0.0,0,0.05945945945945946,9.538385826771654,724
density_scarce,B3_use_queue_term_False,0,3,808,808,0,0.0,2.4533209667347045,0.998,1.4553209667347047,0.0,0,0.050271739130434784,4.778,731
density_scarce,B3_use_queue_term_False,0,4,822,822,0,0.09975669099756691,2.488300403000629,1.04,1.422616006824695,0.025684396175933752,0,0.037333333333333336,8.684615384615384,735
density_scarce,B3_use_queue_term_False,0,5,760,760,0,0.0,2.508906464171887,1.0,1.5089064641718868,0.0,0,0.05116959064327485,3.121,679
density_scarce,B3_use_queue_term_False,0,6,861,861,0,0.0859465737514518,2.4824303767968066,1.065,1.407010154012153,0.010420222784653837,0,0.05613577023498695,9.48544600938967,748
density_scarce,B3_use_queue_term_False,1,7,730,730,0,0.2958904109589041,2.731475166831156,1.079,1.3573298748484355,0.29514529198272077,0,0.1649417852522639,10.529193697868397,754
density_scarce,B3_use_queue_term_False,1,8,777,777,0,0.3680823680823681,2.670170452937158,1.102,1.357000252967043,0.2111701999701146,0,0.16908212560386474,11.077132486388384,812
density_scarce,B3_use_queue_term_False,1,9,794,794,0,0.4244332493702771,2.788748594471625,1.108,1.3561240835619395,0.32462451090968514,0,0.16552119129438717,11.844765342960288,857
density_scarce,B3_use_queue_term_False,1,10,842,826,16,0.42636579572446553,3.1418728543441796,1.135,1.3603827237747286,0.6464901305694513,0,0.16606280193236714,11.899559471365638,809
density_scarce,B3_use_queue_term_False,1,11,796,790,6,0.5778894472361809,3.320318442011628,1.135,1.3580478449704059,0.8272705970412223,0,0.17694204685573367,11.896035242290749,795
density_scarce,B3_use_queue_term_False,1,12,746,746,0,0.41823056300268097,2.9416340169608377,1.105,1.3546745865693084,0.4819594303915292,0,0.16049382716049382,11.263348416289594,792
density_scarce,B3_use_queue_term_False,2,13,802,802,0,0.08478802992518704,2.4686456515721957,1.038,1.4199789454010001,0.010666706171196017,0,0.037628278221208664,7.944123314065511,859
density_scarce,B3_use_queue_term_False,2,14,829,829,0,0.18697225572979492,2.566792328814473,1.075,1.3852158736918283,0.10657645512264492,0,0.049723756906077346,9.44186046511628,887
density_scarce,B3_use_queue_term_False,2,15,788,788,0,0.0,2.4809977349481716,1.002,1.4789977349481715,0.0,0,0.03579952267303103,4.637724550898204,837
density_scarce,B3_use_queue_term_False,2,16,776,776,0,0.0,2.4248041598543386,1.002,1.4228041598543384,0.0,0,0.04561824729891957,9.684630738522953,821
density_scarce,B3_use_queue_term_False,2,17,850,850,0,0.27176470588235296,2.5632041204181286,1.071,1.414963959001117,0.07724016141701201,0,0.040158371040723985,10.125116713352007,868
density_scarce,B3_use_queue_term_False,2,18,811,811,0,0.2466091245376079,2.543284868973652,1.051,1.4385611283868254,0.05372374058682668,0,0.04242081447963801,11.858230256898192,868
density_scarce,B3_use_queue_term_False,3,19,768,768,0,0.15885416666666666,2.5527320184250737,1.082,1.3618452714865918,0.10888674693848178,0,0.08005427408412483,11.502772643253234,720
density_scarce,B3_use_queue_term_False,3,20,811,784,27,0.5006165228113441,3.505656595788614,1.135,1.3397951950855838,1.0308614007030306,0,0.08071428571428571,12.07488986784141,682
