config,policy,layout_id,seed,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,f12_makespan_capped_min,f12_tardiness_capped_min,makespan_min,total_tardiness_min,mean_charge_duration_min,total_charge_energy_wh,mission_flight_energy_wh,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us,charge_sessions
density_scarce,jsq,2,17,2,0.8,850,850,0,0.0,1.9840559295483848,1.024,0.9600559295483848,0.0,1024.0,0.0,1024.0,0,32.110169491525426,8066.9504973273015,8604.634075811173,0,0.27007299270072993,7.958984375,29.826283974940107,118
density_scarce,jsq,2,18,2,0.8,811,811,0,0.0,2.0119049751599585,1.001,1.0109049751599584,0.0,1001.0,0.0,1001.0,0,32.1551724137931,7936.088053800099,7976.770573229323,0,0.304,3.826173826173826,34.21119321137667,116
density_scarce,jsq,3,19,2,0.8,768,768,0,0.0,1.988186015712365,1.002,0.9861860157123649,0.0,1002.0,0.0,1002.0,0,32.0377358490566,7243.632932411261,7504.12303500308,0,0.3793103448275862,4.187624750499002,34.585348250151704,106
density_scarce,jsq,3,20,2,0.8,811,811,0,0.0,1.980125428637109,1.0,0.980125428637109,0.0,1000.0,0.0,1000.0,0,32.10526315789474,7798.937908082761,8112.125712957686,0,0.3373015873015873,5.91,32.00635454425263,114
density_scarce,jsq,3,21,2,0.8,820,820,0,0.0,2.012565628323566,1.0,1.012565628323566,0.0,1000.0,0.0,1000.0,0,32.17391304347826,7867.797191808613,7940.640442413403,0,0.3617886178861789,3.47,35.134147440000035,115
density_scarce,jsq,3,22,2,0.8,778,778,0,0.0,2.0291144172697813,0.997,1.0321144172697811,0.0,997.0,0.0,997.0,0,32.163636363636364,7563.921749479461,7544.770453175176,0,0.32905982905982906,2.844,38.31624899170974,110
density_scarce,jsq,3,23,2,0.8,788,788,0,0.0,2.0346602760974064,1.0,1.0346602760974064,0.0,1000.0,0.0,1000.0,0,32.151785714285715,7667.300529721307,7571.625433328031,0,0.31896551724137934,2.629,40.58532920617867,112
density_scarce,jsq,3,24,2,0.8,766,766,0,0.0,1.9765007040165892,1.002,0.9745007040165892,0.0,1002.0,0.0,1002.0,0,32.1078431372549,6986.6281536514725,7424.004120855774,0,0.36324786324786323,4.549900199600798,36.341023261252886,102
density_scarce,jsq,4,25,2,0.8,782,782,0,0.0,1.9905067627683288,1.002,0.9885067627683289,0.0,1002.0,0.0,1002.0,0,32.35849056603774,7335.439543849695,7636.158684703418,0,0.2863247863247863,2.906187624750499,38.9145287231375,106
density_scarce,jsq,4,26,2,0.8,777,777,0,0.0,1.940527458635505,1.011,0.9295274586355052,0.0,1011.0,0.0,1011.0,0,32.464646464646464,6879.372122808471,7488.759866402418,0,0.3418803418803419,7.051434223541048,31.770082115012613,99
