n,m,rho,seed,L_r1,L_r3a,t_r1,t_r3a,block_r1,block_r3a,L_c_analytic,t_c_analytic
4,6,0.7,17,1.0304576336297075,0.3718012321812781,4.295155490262204,1.4825006244343686,0.038983953394107505,0.00011865868225578065,0.9948450591739566,0.9949471750515312
4,6,0.7,18,1.0451580058699301,0.34657744877021335,4.3452902968556675,1.3849396219531844,0.03952904263495258,8.720814999801799e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,19,1.0534485380404262,0.3401159902195153,4.353178720563386,1.3663301825606775,0.03989072759049613,8.76801428389236e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,20,1.010371368361791,0.35557192172285923,4.202900248133324,1.4274991918776578,0.03679025499534854,4.7791247829480825e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,21,1.0377817825155327,0.36697253177954975,4.333928632630719,1.4658880325102364,0.03808567283625871,7.927322309070442e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,22,1.0280701494566964,0.35483791245857826,4.282388380885508,1.415845746082103,0.039180808233210775,0.00015831301649621633,0.9948450591739566,0.9949471750515312
4,6,0.7,23,1.0349069819325563,0.3719562699373995,4.3061766235745695,1.483090207052723,0.038587021234371896,0.00022937412501680758,0.9948450591739566,0.9949471750515312
4,6,0.7,24,1.02596758878033,0.36184255434071316,4.283015987269853,1.445431503679347,0.0380162391732205,0.00021395289866556785,0.9948450591739566,0.9949471750515312
4,6,0.7,25,1.0313884069168004,0.3420258251691333,4.2859033770203405,1.3702474033961254,0.038665800028535646,0.00021458545269582908,0.9948450591739566,0.9949471750515312
4,6,0.7,26,1.0395611093928914,0.34787949629738124,4.314190243325029,1.3901058142036655,0.03799504068067846,0.0,0.9948450591739566,0.9949471750515312
4,6,0.7,27,1.0223174884910695,0.3441084952025115,4.265030284575742,1.3849440659963028,0.03670946646463035,1.5972654814956793e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,28,1.0331608114235378,0.35612953035361916,4.291963991449014,1.423706236368933,0.03913663366336634,4.7593739836753475e-05,0.9948450591739566,0.9949471750515312
4,6,0.7,29,1.0427845616247757,0.3484910039350286,4.341924667843117,1.398448914543617,0.04023216352939311,7.165662146991616e-05,0.9948450591739566,0.9949471750515312
