layout_seed,rho,seed,R3b_L,Concentrated_travel_L,R3b_block,Concentrated_block
0,1.2,7,3.601670818117225,24.85828875221121,0.18424579662990934,0.16082359488035614
0,1.2,8,3.605179752390881,24.978668002221227,0.1840738817595134,0.16616401109863493
0,1.2,9,3.6302123956655246,24.841095778205275,0.19133235185866765,0.1612060822699239
0,1.2,10,3.627002008292963,24.71720445635684,0.1853432711448544,0.15635671499748083
1,0.6,1,0.4384867521176858,0.3511555532462204,0.0005339323194756417,0.0
1,0.6,2,0.4381567494059076,0.3451336432261584,0.00046391656924418714,0.0
1,0.6,3,0.4291807789488595,0.327493160220689,0.0006683747354350006,0.0
1,0.6,4,0.4497788662602785,0.3085015958137374,0.000647273130767666,0.0
1,0.6,5,0.427840640631216,0.3610567184086533,0.00039026928580720695,0.0
1,0.6,6,0.4440760579317824,0.3314557579298475,0.0004632803958267702,0.0
1,0.6,7,0.4467667529468783,0.31991593435236415,0.0005147721214126818,0.0
1,0.6,8,0.44418055120523336,0.341651777204483,0.000465809577044904,0.0
1,0.6,9,0.4471586758417428,0.3363151492663936,0.00046046451660435045,0.0
1,0.6,10,0.42725159187922995,0.33264124064898654,0.0003708098487095817,0.0
1,0.8,1,1.182634398485513,2.160661386141328,0.0106735880744514,5.55000555000555e-05
1,0.8,2,1.2005361011493152,2.2060086192284367,0.01126541711178013,0.0004864827298630899
1,0.8,3,1.201161954244413,2.143758031215902,0.009236556143772638,2.7803264103205717e-05
1,0.8,4,1.2185343926211742,2.276264864879388,0.010640800343162352,5.5280687691754886e-05
1,0.8,5,1.1758308864673839,2.344482332762,0.009640604944472348,8.328590663649866e-05
1,0.8,6,1.170550249928557,2.2540202589500713,0.01045305866796576,9.728437612919365e-05
1,0.8,7,1.2315419033360775,2.141601704043487,0.011119541974201558,0.0
1,0.8,8,1.2180128657574965,2.243709988769817,0.010494212240937132,9.719387400896961e-05
1,0.8,9,1.1966803064692355,2.1422079450575913,0.009528968898890138,4.163775156141568e-05
1,0.8,10,1.1821848742625298,2.251861181609825,0.009896022077885876,0.0
1,1.0,1,2.552445153193709,13.614519913212648,0.07414741474147414,0.029116343827003614
1,1.0,2,2.4648346770233447,14.564005927904008,0.06732597945987068,0.0325313377818735
1,1.0,3,2.5140712010634965,13.836573075147697,0.07087529480143516,0.029964426304461767
1,1.0,4,2.508100609233723,14.166322845257692,0.07084816034232376,0.02909534097833915
1,1.0,5,2.522014647692983,14.287396001126512,0.07080590642234477,0.03197871042856351
1,1.0,6,2.466411616513013,13.748419182057747,0.06691801236709818,0.026980137458573368
1,1.0,7,2.4721130950268675,14.449938356577324,0.0676993115700644,0.03137025078508558
1,1.0,8,2.490687054211917,13.528302284823214,0.06736016750941126,0.02777684853756175
1,1.0,9,2.5761444382609313,13.09499218436237,0.07466345676012942,0.028426644144644724
1,1.0,10,2.5529979365484636,13.215878121896553,0.07380648029789362,0.026623602373022016
