n,m,rho,seed,t_r1,t_r3a,t_c_analytic
4,6,1.03,1,10.583231246839885,11.613052754737632,10.962915818814567
4,6,1.03,2,10.48615946408028,11.287046132272803,10.962915818814567
4,6,1.03,3,10.601973171722255,11.230785582206101,10.962915818814567
4,6,1.03,4,10.604979709003716,11.859404511679347,10.962915818814567
4,6,1.03,5,10.644157808111398,11.553403625251585,10.962915818814567
4,6,1.03,6,10.70830949107427,11.52181080636389,10.962915818814567
4,6,1.03,7,10.61971652079567,11.168917152590387,10.962915818814567
4,6,1.03,8,10.616678182903723,11.829229648712648,10.962915818814567
4,6,1.03,9,10.564489784291064,11.722575446458363,10.962915818814567
4,6,1.03,10,10.683573115839845,11.78538063476068,10.962915818814567
4,6,1.03,11,10.922000162211425,11.837025663271108,10.962915818814567
4,6,1.03,12,10.656275677926137,11.505233150420203,10.962915818814567
4,6,1.03,13,10.629623682512696,11.64594030145289,10.962915818814567
4,6,1.03,14,10.722849962340412,11.497208675807585,10.962915818814567
4,6,1.03,15,10.456270551842396,11.234765163576466,10.962915818814567
4,6,1.05,1,10.993830366396661,12.59747344417005,11.965922890744293
4,6,1.05,2,11.174510974291412,12.171908095986328,11.965922890744293
4,6,1.05,3,11.147964233611003,12.421776828316467,11.965922890744293
4,6,1.05,4,11.139610797484742,12.4145304663022,11.965922890744293
4,6,1.05,5,10.902903922192458,12.81281252676749,11.965922890744293
4,6,1.05,6,11.086104524627942,12.782001617576787,11.965922890744293
4,6,1.05,7,11.080355230106784,12.618047384533309,11.965922890744293
4,6,1.05,8,11.151627155086448,12.364448307604857,11.965922890744293
4,6,1.05,9,11.155490617775785,12.385513712640428,11.965922890744293
4,6,1.05,10,11.055631224733933,12.496726733991986,11.965922890744293
4,6,1.05,11,11.004964299232629,12.416220285793901,11.965922890744293
4,6,1.05,12,11.093666834564125,12.397538196638207,11.965922890744293
4,6,1.05,13,11.020697824818406,12.567204023779372,11.965922890744293
4,6,1.05,14,11.090173492532273,12.617343146851377,11.965922890744293
4,6,1.05,15,11.02919938489933,12.522885842009986,11.965922890744293
5,7,1.0001,1,14.830999041973355,14.723640346848399,14.313280701373257
5,7,1.0001,2,14.96430738006648,15.372766381855687,14.313280701373257
5,7,1.0001,3,15.08696983983042,15.42516299551773,14.313280701373257
5,7,1.0001,4,14.914660248092279,14.33974370921339,14.313280701373257
5,7,1.0001,5,14.93265188945092,15.300368272703675,14.313280701373257
5,7,1.0001,6,15.011232304702487,14.947974123561382,14.313280701373257
5,7,1.0001,7,14.932880612323151,14.366668641179901,14.313280701373257
5,7,1.0001,8,15.226871863505968,15.560765516156199,14.313280701373257
5,7,1.0001,9,14.927467231639676,14.96836981448632,14.313280701373257
5,7,1.0001,10,14.886712861287837,16.009157227993605,14.313280701373257
5,7,1.0001,11,15.072908603846106,15.29721839838146,14.313280701373257
5,7,1.0001,12,14.934277293481777,14.927018306235396,14.313280701373257
5,7,1.0001,13,14.924131183670713,15.093728050494677,14.313280701373257
5,7,1.0001,14,14.976428364416972,15.213038852804292,14.313280701373257
5,7,1.0001,15,14.915800048507181,14.788093270103971,14.313280701373257
5,7,1.003,1,15.128635617888461,15.561966354622133,14.608430720134992
5,7,1.003,2,15.237058026826722,15.507046764606669,14.608430720134992
5,7,1.003,3,15.055416873094387,15.59756332423424,14.608430720134992
5,7,1.003,4,15.106354205950694,15.100329381872655,14.608430720134992
5,7,1.003,5,15.027283099397978,16.156691418794036,14.608430720134992
5,7,1.003,6,15.15038739314056,15.620014919385646,14.608430720134992
5,7,1.003,7,15.019265980970228,14.978760190560505,14.608430720134992
5,7,1.003,8,15.381940474499894,15.162718765489707,14.608430720134992
5,7,1.003,9,15.090241923792012,15.763503278438955,14.608430720134992
5,7,1.003,10,15.154209201014298,16.315198982577186,14.608430720134992
5,7,1.003,11,15.022151498783913,15.228438982426955,14.608430720134992
5,7,1.003,12,14.962523702741885,15.125156826036674,14.608430720134992
5,7,1.003,13,15.140494240528742,15.450053220775992,14.608430720134992
5,7,1.003,14,15.068030276716694,14.255646446347482,14.608430720134992
5,7,1.003,15,15.06797041809898,15.356339496076396,14.608430720134992
5,7,1.006,1,15.215043902272173,16.006844336846854,14.914312934313298
5,7,1.006,2,15.188741618083222,15.619407248850397,14.914312934313298
5,7,1.006,3,15.15248425278413,15.576359349559251,14.914312934313298
5,7,1.006,4,15.332966970912999,14.93786702417459,14.914312934313298
5,7,1.006,5,15.232563688074038,16.064593061356522,14.914312934313298
5,7,1.006,6,15.219432142213904,14.833287657017031,14.914312934313298
5,7,1.006,7,15.007928667252967,15.798499355564491,14.914312934313298
5,7,1.006,8,15.274941773770275,15.854564406978522,14.914312934313298
5,7,1.006,9,15.15991183492757,15.702072307807091,14.914312934313298
5,7,1.006,10,15.16772226924361,15.7487447866752,14.914312934313298
5,7,1.006,11,15.340200576171345,15.79652551724704,14.914312934313298
5,7,1.006,12,15.286124157250416,15.551806218783371,14.914312934313298
5,7,1.006,13,15.159840374918648,16.188444653920808,14.914312934313298
5,7,1.006,14,14.968931408555713,16.392851540847037,14.914312934313298
5,7,1.006,15,15.220619365868945,15.52178506432386,14.914312934313298
5,7,1.009,1,15.431249674344585,16.608185923506884,15.220512076986395
5,7,1.009,2,15.216528260111938,15.879877945859487,15.220512076986395
5,7,1.009,3,15.284402089116211,16.520546974954048,15.220512076986395
5,7,1.009,4,15.312394186811428,16.407890036619435,15.220512076986395
5,7,1.009,5,15.30472156241983,16.569225013150277,15.220512076986395
5,7,1.009,6,15.375144725385836,15.67764004753201,15.220512076986395
5,7,1.009,7,15.074899468926272,16.15720459868433,15.220512076986395
5,7,1.009,8,15.42295547913085,15.989773578892125,15.220512076986395
5,7,1.009,9,15.294117032843245,15.57029589874584,15.220512076986395
5,7,1.009,10,15.16303380816791,16.225519212165977,15.220512076986395
5,7,1.009,11,15.254324337302247,16.456951667038474,15.220512076986395
5,7,1.009,12,15.128329607807379,16.227724796134986,15.220512076986395
5,7,1.009,13,15.294484691425255,15.58406417543025,15.220512076986395
5,7,1.009,14,15.094013591777674,15.903876913551754,15.220512076986395
5,7,1.009,15,15.260984004265561,15.908431277953305,15.220512076986395
5,7,1.012,1,15.386427969984032,15.792757551293642,15.526782003172148
5,7,1.012,2,15.51391927371691,16.689308644217515,15.526782003172148
5,7,1.012,3,15.268279407514498,16.23154184108575,15.526782003172148
5,7,1.012,4,15.290539006960863,16.37961568039139,15.526782003172148
5,7,1.012,5,15.470587570886721,16.198989607083792,15.526782003172148
5,7,1.012,6,15.50811688674893,16.654605085893618,15.526782003172148
5,7,1.012,7,15.578727348422257,15.909214785595223,15.526782003172148
5,7,1.012,8,15.527729964045921,16.25294046995108,15.526782003172148
5,7,1.012,9,15.124664087115326,16.530970623533044,15.526782003172148
5,7,1.012,10,15.477600384744962,15.976813719753165,15.526782003172148
5,7,1.012,11,15.46439784686922,17.03380575612288,15.526782003172148
5,7,1.012,12,15.543889927301487,16.380995602190914,15.526782003172148
5,7,1.012,13,15.62196899431681,16.24989627263697,15.526782003172148
5,7,1.012,14,15.443705952786177,16.02691455563717,15.526782003172148
5,7,1.012,15,15.204370625639317,15.779911075801571,15.526782003172148
5,7,1.02,1,15.630084641844459,17.368312895843527,16.34203046744782
5,7,1.02,2,15.630033136800833,17.19465376771372,16.34203046744782
5,7,1.02,3,15.579017149916885,17.88048004139338,16.34203046744782
5,7,1.02,4,15.650635181360462,16.619122648013512,16.34203046744782
5,7,1.02,5,15.803295815633028,17.598459846618027,16.34203046744782
5,7,1.02,6,15.831006385324821,16.077740550403732,16.34203046744782
