config,w1,w2,layout_id,seed,miss_rate,unfinished_at_cap,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations
load_saturated,1.0,2.0,1,4,0.24550526968381897,0,1.07,1.5942486077141598,0.06623601661893042,0
load_saturated,1.0,2.0,1,5,0.21583178726035868,0,1.076,1.5486315951878242,0.08922495578889195,0
load_saturated,1.0,2.0,1,6,0.518475073313783,0,1.121,1.5453188202644126,0.4287380161300217,0
load_saturated,1.0,2.0,2,7,0.0,0,1.002,1.5138852423673317,0.0,0
load_saturated,1.0,2.0,2,8,0.0,0,1.003,1.5207606579496358,0.0,0
load_saturated,1.0,2.0,2,9,0.0,0,1.002,1.4883665238619217,0.0,0
load_saturated,1.0,2.0,3,10,0.0,0,1.001,1.504091731211311,0.0,0
load_saturated,1.0,2.0,3,11,0.0,0,1.002,1.485687803907163,0.0,0
load_saturated,1.0,2.0,3,12,0.0,0,1.002,1.4994305067011122,0.0,0
load_saturated,1.0,2.0,4,13,0.006180469715698393,0,1.041,1.5672641809109764,0.001285348079312299,0
load_saturated,1.0,2.0,4,14,0.0,0,1.002,1.554879163907668,0.0,0
load_saturated,1.0,2.0,4,15,0.0,0,1.001,1.5359540921572024,0.0,0
load_saturated,0.5,0.5,0,1,0.0,0,1.002,1.494620945896008,0.0,0
load_saturated,0.5,0.5,0,2,0.0,0,1.001,1.5068770181034334,0.0,0
load_saturated,0.5,0.5,0,3,0.0,0,1.002,1.5111516140354753,0.0,0
load_saturated,0.5,0.5,1,4,0.425914445133292,0,1.074,1.5766805621620879,0.14544108413707754,0
load_saturated,0.5,0.5,1,5,0.300556586270872,0,1.079,1.5581659867260798,0.14780930293269245,0
load_saturated,0.5,0.5,1,6,0.5225806451612903,0,1.111,1.5603058791861342,0.3882329059225669,0
load_saturated,0.5,0.5,2,7,0.0,0,1.002,1.5020670284951505,0.0,0
load_saturated,0.5,0.5,2,8,0.0,0,1.002,1.5124464414147187,0.0,0
load_saturated,0.5,0.5,2,9,0.0,0,1.002,1.4821933794334206,0.0,0
load_saturated,0.5,0.5,3,10,0.0,0,1.002,1.4928595782125564,0.0,0
load_saturated,0.5,0.5,3,11,0.0,0,1.002,1.4885238133767285,0.0,0
load_saturated,0.5,0.5,3,12,0.0,0,1.001,1.4894297788372262,0.0,0
load_saturated,0.5,0.5,4,13,0.011742892459826947,0,1.043,1.5694575999697689,0.0019747789851772795,0
load_saturated,0.5,0.5,4,14,0.0,0,1.002,1.5551078426610345,0.0,0
load_saturated,0.5,0.5,4,15,0.0,0,1.005,1.540846307500551,0.0,0
